Comment,Designator,Footprint,LCSC
MX6208,U2,SOP-8_3.9x4.9mm_P1.27mm,C155448
10k,"R1,R2,R3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17376
220uF,C1,CP_Radial_D10.0mm_P2.50mm_P5.00mm,C2873991
10uF,C3,CP_Radial_D10.0mm_P2.50mm_P5.00mm,C399106
Conn_02x04_Odd_Even,J1,IDC-Header_2x04_P2.54mm_Vertical,C601937
100nF,C2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C66501
DGQ10_2P18X1P72,U1,DRV8830DGQ,
SolderJumper_3_Open,JP2,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm_NumberLabels,
Motorized_Potentiometer,RV1,Potentiometer_RC-1601,
SolderJumper_3_Open,JP1,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm_NumberLabels,
L_Small,L1,L_6.3x6.3_H3,
